init_coverage,adam_coverage,bf_coverage,combined_coverage,systems_area,protection_area,Number_of_systems,Number_of_areas,average_system_size,average_area_size,precision,recall,Fscore,env_area
1.774579864,2.332385962,2.364526344,2.640808512,57.74800812,11.44603969,2,40,28.87400406,0.286150992,0.045729863,0.230718099,0.038165255,20
2.553859396,4.017293708,3.819252385,4.668228035,83.92591318,13.9832949,2,50,41.96295659,0.279665898,0.055623202,0.333843209,0.047679152,20
3.490885608,4.660520622,4.866927383,5.020794622,83.92591318,17.0300091,2,60,41.96295659,0.283833485,0.059824129,0.294820431,0.049732542,20
2.124702036,3.86074839,3.990649409,4.863164512,83.92591318,14.7307924,2,50,41.96295659,0.294615848,0.057945923,0.330135975,0.049293806,20
4.406692176,4.760919579,4.753459266,5.628302555,83.92591318,14.2747667,2,50,41.96295659,0.285495334,0.06706275,0.39428333,0.057314293,20
3.71885345,4.321290356,3.753905231,4.321338192,83.92591318,16.93526453,2,60,41.96295659,0.282254409,0.051489916,0.255168036,0.042844415,20
5.076873214,6.852887519,6.468549498,7.969142729,83.92591318,20.41855835,2,70,41.96295659,0.291693691,0.094954495,0.390289196,0.076373406,20
3.611113482,5.715031178,6.44661113,7.285082944,83.92591318,17.04627114,2,60,41.96295659,0.284104519,0.086803738,0.427371059,0.072149404,20
4.304573818,5.715151059,6.453528686,6.882900139,83.92591318,19.51314962,2,70,41.96295659,0.27875928,0.08201162,0.352731377,0.066540627,20
3.382819287,6.111968096,5.714274961,5.972484483,83.92591318,19.67909906,2,70,41.96295659,0.281129987,0.071163771,0.303493796,0.057646675,20
5.751131357,6.565809498,6.340011228,6.776537837,111.1921059,22.43442533,2,80,55.59605296,0.280430317,0.060944415,0.302059792,0.050712518,20
5.728109346,5.997180575,8.021823859,8.686083685,111.1921059,23.48088517,2,80,55.59605296,0.293511065,0.078117809,0.369921475,0.064497592,20
6.497776872,7.254834481,7.542268361,9.463521839,111.1921059,23.41280823,2,80,55.59605296,0.292660103,0.085109656,0.404202766,0.070305916,20
8.239889799,11.29135685,9.793270068,10.68580326,130.0130982,25.40149243,2,90,65.00654908,0.282238805,0.082190206,0.420676198,0.068756757,20
